"Name","State","Created","Runtime","Sweep","alpha","base_learning_rate","batch_size","beta","dropout","epochs","input_shape","l2_reg","lr_multiplier","task","epoch","train_loss","val_acc","val_auc","val_dice","val_dice_c0","val_dice_c1","val_dice_manual","val_iou","val_iou_c0","val_iou_c1","val_iou_manual","val_loss","val_sens","val_spec"
"ethereal-sweep-7","finished","2025-07-20T22:12:18.000Z","7071","","2","0.0002","64","1","0.24733428084843403","40","[256,256,1]","0.00014468455504442772","1.193872708375422","multitask","38","","0.47957371225577267","0.5116809042608605","0.47954744078775086","0.4758497316636851","0.48324514991181655","0.5681952238082886","0.31540561196637185","0.31220657276995306","0.3186046511627907","","2.1250826088615673","",""
"snowy-sweep-6","finished","2025-07-20T20:15:01.000Z","7034","","2","0.0002","64","2","0.2235815952591479","40","[256,256,1]","0.00012166666115223676","1.1308417836832765","multitask","38","","0.47957371225577267","0.5116809042608605","0.47954744078775086","0.4758497316636851","0.48324514991181655","0.5681952238082886","0.31540561196637185","0.31220657276995306","0.3186046511627907","","2.1250826088615673","",""
"vital-sweep-5","finished","2025-07-20T18:17:25.000Z","7051","","2","0.0002","64","2","0.2382081907152103","40","[256,256,1]","0.00009740504461254656","1.1250281751013869","multitask","38","","0.47957371225577267","0.5116809042608605","0.47954744078775086","0.4758497316636851","0.48324514991181655","0.5681952238082886","0.31540561196637185","0.31220657276995306","0.3186046511627907","","2.1250826088615673","",""
"likely-sweep-4","finished","2025-07-20T16:19:55.000Z","7047","","2","0.0002","64","1","0.22788069435134667","40","[256,256,1]","0.0001005669521989498","1.0544199806665813","multitask","38","","0.47957371225577267","0.5116809042608605","0.47954744078775086","0.4758497316636851","0.48324514991181655","0.5681952238082886","0.31540561196637185","0.31220657276995306","0.3186046511627907","","2.1250826088615673","",""
"astral-sweep-3","finished","2025-07-20T14:41:15.000Z","5913","","1","0.0002","128","1","0.24185862559467863","40","[256,256,1]","0.00005643079438868897","0.8547219906785946","multitask","32","","0.47957371225577267","0.523615741223044","0.4723220083617764","0.4104627766599598","0.534181240063593","0.5980455875396729","0.3113265053955353","0.2582278481012658","0.3644251626898048","","2.0878038965364123","",""
"jumping-sweep-2","finished","2025-07-20T12:43:44.000Z","7046","","1","0.0002","64","1","0.2281119444862046","40","[256,256,1]","0.00010079843706911428","1.108153726434598","multitask","38","","0.47957371225577267","0.5116809042608605","0.47954744078775086","0.4758497316636851","0.48324514991181655","0.5681952238082886","0.31540561196637185","0.31220657276995306","0.3186046511627907","","2.1250826088615673","",""
"rose-sweep-1","finished","2025-07-20T11:04:56.000Z","5921","","1","0.0002","128","2","0.16356301626090694","40","[256,256,1]","0.00003765915046206451","1.09327337726501","multitask","32","","0.47957371225577267","0.523615741223044","0.4723220083617764","0.4104627766599598","0.534181240063593","0.5980455875396729","0.3113265053955353","0.2582278481012658","0.3644251626898048","","2.0878038965364123","",""
"hopeful-sweep-61","finished","2025-07-20T02:41:01.000Z","6241","","0.5","0.0002","32","1","0.20998021038464615","40","[256,256,1]","0.0000682258367911999","1.133662087970175","multitask","40","0.6024837378995964","0.4547069271758437","0.4888530055214085","0.5448936820030212","","","0.5451726350519392","0.4060015082359314","","","","2.389737559689416","",""
"polar-sweep-60","finished","2025-07-20T01:00:21.000Z","6034","","0.5","0.0002","32","1","0.2063933411731952","40","[256,256,1]","0.0000665807328083984","1.075726081446597","multitask","40","0.6187250685979084","0.4724689165186501","0.4945697468486301","0.5202944874763489","","","0.5216793202691608","0.38106295466423035","","","","2.3963481651412115","",""
"dazzling-sweep-59","finished","2025-07-19T23:22:33.000Z","5864","","2","0.0002","64","1","0.1612126892260501","40","[256,256,1]","0.000014205700191593498","0.8232468476419118","multitask","40","0.672749305055255","0.4547069271758437","0.4931633503489947","0.556035578250885","","","0.5559289322959052","0.4136617183685303","","","","2.6413130230373807","",""
"electric-sweep-58","finished","2025-07-19T21:46:22.000Z","5768","","2","0.0002","128","2","0.2363446164735475","40","[256,256,1]","0.00005423762749471346","0.8253911456008551","multitask","40","0.5622766926175072","0.4991119005328597","0.5309928117512241","0.5665526390075684","","","0.5684295177459717","0.4266833364963531","","","","2.5070042610168457","",""
"hardy-sweep-57","finished","2025-07-19T20:09:58.000Z","5782","","1","0.0002","128","2","0.16218349865998324","40","[256,256,1]","0.000022882838776052363","0.8062432530781649","multitask","40","0.5594141156900496","0.49023090586145646","0.5265652672153349","0.5648663640022278","","","0.565739381313324","0.4255092144012451","","","","2.6139596939086913","",""
"sleek-sweep-56","finished","2025-07-19T18:32:30.000Z","5845","","2","0.0002","64","0.5","0.23149247120075644","40","[256,256,1]","0.000012535945382779164","0.8425678979989443","multitask","40","0.6630858168715522","0.45293072824156305","0.5081258464423377","0.587328314781189","","","0.5872761408487955","0.4511249363422394","","","","2.6056843863593206","",""
"absurd-sweep-55","finished","2025-07-19T16:55:06.000Z","5841","","2","0.0002","64","1","0.2206918390112813","40","[256,256,1]","0.00003259151671184534","0.8201020547738154","multitask","40","0.7101350213800158","0.4653641207815275","0.4835529742681529","0.5745779871940613","","","0.5743878616227044","0.4345971941947937","","","","2.889756997426351","",""
"golden-sweep-54","finished","2025-07-19T15:17:45.000Z","5836","","2","0.0002","64","1","0.15822392986765652","40","[256,256,1]","0.00004140374922109276","0.8015682232685655","multitask","40","0.6662522000925881","0.46714031971580816","0.475453172205438","0.5790693759918213","","","0.579120053185357","0.44108107686042786","","","","2.474236011505127","",""
"earthy-sweep-53","finished","2025-07-19T13:40:00.000Z","5860","","2","0.0002","64","0.5","0.16030236830942737","40","[256,256,1]","0.00003552280171345595","0.88770287595919","multitask","40","0.6795375049114227","0.4689165186500888","0.4908584227523701","0.5668619275093079","","","0.5667897330390083","0.4256211221218109","","","","2.59541556570265","",""
"generous-sweep-52","finished","2025-07-19T12:02:33.000Z","5844","","2","0.0002","64","1","0.15610715765154243","40","[256,256,1]","0.000050011798984555694","0.8937793152004182","multitask","40","0.6779181403773171","0.4564831261101243","0.49100166684029584","0.5762773752212524","","","0.5762029820018344","0.4370242357254028","","","","2.7681126329633923","",""
