val/dice,calibration_method,dropout_rate,lr,val/cls_confmat_00,lr_scheduler,architecture,val/multi,Name,val/loss,val/acc,val/cls_confmat_11,train/lr,val/cls_confmat_01,val/iou,val/auc,opt/lr,val/cls_confmat_10,effective_lr
,youden,0.180466078892742,4.96915370058e-05,316,cosine,vit,,toasty-sweep-16,0.664238221115536,0.589698046181172,16,4.96915370058e-05,15,,0.659912490884467,4.96915370058e-05,216,4.96915370058e-05
,rate_match,0.189446960882709,3.08636012496e-05,302,none,vit,,copper-sweep-15,0.691989190048642,0.628774422735346,52,3.08636012496e-05,29,,0.638282633607667,3.08636012496e-05,180,3.08636012496e-05
,youden,0.19214302821636,5.01455014449e-05,112,cosine,vit,,honest-sweep-8,0.71363553735945,0.561278863232682,203,5.01455014449e-05,219,,0.653726950724034,5.01455014449e-05,29,5.01455014449e-05
,rate_match,0.183535462241631,4.42474431636e-05,155,warmcos,vit,,graceful-sweep-6,0.636706948280335,0.626998223801066,201,4.42474431636e-05,176,,0.732315866236066,4.42474431636e-05,31,4.42474431636e-05
,f1,0.181350369258154,4.79913757192e-05,97,none,vit,,wild-sweep-2,0.633598864078522,0.619893428063943,216,4.79913757192e-05,234,,0.680500572976352,4.79913757192e-05,16,4.79913757192e-05
,youden,0.185721571718768,5.99435278255e-05,141,none,vit,,dainty-sweep-2,0.697156157758501,0.570159857904085,180,5.99435278255e-05,190,,0.628294614022294,5.99435278255e-05,52,5.99435278255e-05
,rate_match,0.198421946221126,5.0711362064e-05,137,cosine,vit,,likely-sweep-5,0.623032636112637,0.63943161634103,206,5.0711362064e-05,194,,0.72605870403167,5.0711362064e-05,26,5.0711362064e-05
,rate_match,0.21502181348016,5.04081032008e-05,160,none,vit,,fiery-sweep-2,0.64113939470715,0.630550621669627,189,5.04081032008e-05,171,,0.681848369621836,5.04081032008e-05,43,5.04081032008e-05
,rate_match,0.197359079834955,0.0002125270474247,11,warmcos,vit,,glowing-sweep-1,0.729532870981428,0.587921847246892,228,0.0002125270474247,320,,0.528570684446297,0.0002125270474247,4,0.0002125270474247
,youden,0.236171402456032,5.44060807627e-05,136,warmcos,vit,,lyric-sweep-1,0.704009122318692,0.58436944937833,193,5.44060807627e-05,195,,0.687962287738306,5.44060807627e-05,39,5.44060807627e-05
,f1,0.182691655639445,7.46852588894e-05,190,plateau,vit,,whole-sweep-8,0.624328043725756,0.664298401420959,180,7.46852588894e-05,141,,0.719502031461611,7.46852588894e-05,52,7.46852588894e-05
,f1,0.238392323078625,5.2861592721e-05,163,warmcos,vit,,comic-sweep-1,0.67804831928677,0.571936056838366,159,5.2861592721e-05,168,,0.629479633295135,5.2861592721e-05,73,5.2861592721e-05
,f1,0.223511877639208,0.0001274637348225,296,plateau,vit,,ancient-sweep-1,0.663679348097907,0.618117229129663,52,0.0001274637348225,35,,0.615467757058027,0.0001274637348225,180,0.0001274637348225
,rate_match,0.217044246585776,0.0002093330922582,234,none,vit,,lyric-sweep-8,0.685843808783425,0.579040852575488,92,0.0002093330922582,97,,0.574512970101052,0.0002093330922582,140,0.0002093330922582
,f1,0.196517663771662,7.89787141572e-05,188,cosine,vit,,earnest-sweep-4,0.71612337562773,0.566607460035524,131,1.21732508966716e-07,143,,0.597874778622773,0.0,101,7.89787141572e-05
,f1,0.199062408418857,0.0001488562245665,200,warmcos,vit,,apricot-sweep-5,0.659349103768667,0.609236234458259,143,2.68128127258561e-07,131,,0.659417647671633,0.0,89,0.0001488562245665
,youden,0.19702418251534,0.0001678533958106,18,plateau,vit,,legendary-sweep-3,0.901096754603916,0.426287744227353,222,1.02449582403951e-08,313,,0.505638608188353,1.02449582403951e-08,10,0.0001678533958106
,rate_match,0.230055417271507,3.24406825108e-05,200,none,vit,,pious-sweep-4,0.644393917587068,0.641207815275311,161,3.24406825108e-05,131,,0.695410980310449,3.24406825108e-05,71,3.24406825108e-05
,f1,0.204023975698501,4.02779738032e-05,144,none,vit,,resilient-sweep-2,0.680797013971541,0.598579040852576,193,4.02779738032e-05,187,,0.710321387644546,4.02779738032e-05,39,4.02779738032e-05
,youden,0.202547859601054,7.76539089009e-05,198,cosine,vit,,silvery-sweep-1,0.672869331306881,0.605683836589698,143,1.19690542729865e-07,133,,0.642449734347328,0.0,89,7.76539089009e-05
,youden,0.216278584284248,0.0004379207375891,156,plateau,vit,,prime-sweep-8,0.900584853357739,0.557726465364121,158,8.61959387796636e-09,175,,0.559381185540161,8.61959387796636e-09,74,0.0004379207375891
,rate_match,0.211784196948816,5.63229745905e-05,153,cosine,vit,,vocal-sweep-4,0.901095973120795,0.52753108348135,144,8.68124669100409e-08,178,,0.538454526513179,0.0,88,5.63229745905e-05
,youden,0.204056103876588,0.0005572245455091,210,warmcos,vit,,silvery-sweep-2,0.680829034911262,0.614564831261101,136,8.5886865475708e-07,121,,0.61721273049276,0.0,96,0.0005572245455091
,f1,0.182811029099499,0.0003445112357819,193,warmcos,vit,,robust-sweep-1,0.673852635754479,0.587921847246892,138,5.31006582551732e-07,138,,0.620546411084488,0.0,94,0.0003445112357819
,f1,0.236420037909865,3.38679097698e-05,187,cosine,vit,,super-sweep-30,0.663995378547245,0.612788632326821,158,5.22017314884208e-08,144,,0.663584748411293,0.0,74,3.38679097698e-05
,rate_match,0.22924409930822,4.61681425758e-05,218,cosine,vit,,fluent-sweep-7,0.686947796079848,0.593250444049734,116,7.11604878613382e-08,113,,0.605076049588499,0.0,116,4.61681425758e-05
,youden,0.211369047800769,3.42092928169e-05,232,cosine,vit,,drawn-sweep-5,0.641539772351583,0.678507992895204,150,5.27279164901049e-08,99,,0.72076518387332,0.0,82,3.42092928169e-05
,rate_match,0.223979787379673,3.28643163134e-05,206,none,vit,,clean-sweep-1,0.66877547899882,0.623445825932504,145,3.28643163134e-05,125,,0.647424210855297,3.28643163134e-05,87,3.28643163134e-05
,rate_match,0.213361235111221,3.28587941286e-05,219,warmcos,vit,,vague-sweep-2,0.688839938905504,0.587921847246892,112,5.91870911635987e-08,112,,0.594189498906136,0.0,120,3.28587941286e-05
,rate_match,,0.0001711896658819,245,warmcos,densenet,,crisp-sweep-24,0.830582042535146,0.74955595026643,177,3.08356366370422e-07,86,,0.834396812167934,0.0,55,0.0001711896658819
,youden,,0.0001420568087114,243,none,densenet,,super-sweep-23,0.936393949720595,0.719360568383659,162,0.0001420568087114,88,,0.808430565683926,0.0001420568087114,70,0.0001420568087114
