"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","filters","kernel_size","learning_rate","method","metric.goal","metric.name","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.filterss","parameters.kernel_sizes","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.rotation.distribution","parameters.rotation.max","parameters.rotation.min","parameters.translation.distribution","parameters.translation.max","parameters.translation.min","parameters.zoom.distribution","parameters.zoom.max","parameters.zoom.min","program","rotation","run_cap","translation","zoom","epoch/accuracy","epoch/auc","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/precision","epoch/recall","epoch/val_accuracy","epoch/val_auc","epoch/val_loss","epoch/val_precision","epoch/val_recall"
"earnest-sweep-52","finished","-","","","2025-06-04T19:03:07.000Z","1804","","32","0.015648951185898208","20","32","3","0.000955852388079144","","","","","","","","","","","","","","","","","","","","","","","","0.18140859119568087","","0.14749303512336925","0.009803166600566904","0.5979999899864197","0.5766579508781433","7","0.000955852388869971","0.6697793006896973","0.5371286869049072","0.17556634545326233","0.5685752034187317","0.5358220338821411","0.6800342202186584","0.44525548815727234","0.1974110007286072"
"dark-sweep-51","finished","-","","","2025-06-04T18:40:16.000Z","1365","","32","0.32558125980369906","20","32","3","0.0008442554226451716","","","","","","","","","","","","","","","","","","","","","","","","0.16924332970655054","","0.09316417975312533","0.049552201153141406","0.590666651725769","0.5846354961395264","5","0.0008442554390057921","0.6683715581893921","0.5107526779174805","0.15372169017791748","0.5565912127494812","0.5224669575691223","0.6879557967185974","0.4000000059604645","0.1553398072719574"
"resilient-sweep-50","finished","-","","","2025-06-04T17:26:03.000Z","4448","","32","0.09256843024678746","20","16","3","0.0005114967472584379","","","","","","","","","","","","","","","","","","","","","","","","0.01138634610554621","","0.06331889112523748","0.10976576596603256","0.6426666378974915","0.682472288608551","19","0.0005114967352710664","0.6253085732460022","0.5946882367134094","0.4166666567325592","0.6245006918907166","0.6855862140655518","0.6296970248222351","0.5434083342552185","0.5469255447387695"
"decent-sweep-49","finished","-","","","2025-06-04T17:03:17.000Z","1357","","32","0.0035739051786024545","20","16","3","0.0003328336404349797","","","","","","","","","","","","","","","","","","","","","","","","0.18762440621596785","","0.02625775182530921","0.13715927015853052","0.5910000205039978","0.5908097624778748","5","0.0003328336460981518","0.666668713092804","0.510538637638092","0.1763754040002823","0.5845539569854736","0.5323771238327026","0.6830651760101318","0.48148149251937866","0.1262135952711105"
"scarlet-sweep-48","finished","-","","","2025-06-04T15:49:03.000Z","4450","","32","0.024620140684195213","20","16","3","0.0003879164423299409","","","","","","","","","","","","","","","","","","","","","","","","0.049642626743936075","","0.03300114131207952","0.13574966224752247","0.6359999775886536","0.6889922618865967","19","0.0003879164287354797","0.62386155128479","0.5823798775672913","0.41181230545043945","0.5978695154190063","0.6605383157730103","0.6574689149856567","0.5214723944664001","0.27508091926574707"
"misunderstood-sweep-47","finished","-","","","2025-06-04T15:15:07.000Z","2030","","16","0.4320999065882032","20","32","5","0.0003148396416200627","","","","","","","","","","","","","","","","","","","","","","","","0.15910844592065287","","0.1180236377483009","0.04098039122125605","0.5933333039283752","0.6073004603385925","8","0.0003148396499454975","0.6643567681312561","0.5157480239868164","0.2119741141796112","0.5818908214569092","0.576026201248169","0.6788338422775269","0.4874371886253357","0.31391584873199463"
"easy-sweep-46","finished","-","","","2025-06-04T14:00:56.000Z","4446","","16","0.35223488658307445","20","16","5","0.00019026442241955172","","","","","","","","","","","","","","","","","","","","","","","","0.014607536030594594","","0.19196469601404076","0.02742155968118103","0.6043333411216736","0.6283179521560669","19","0.00019026442896574736","0.6567140221595764","0.5433628559112549","0.24838188290596008","0.6111850738525391","0.6719858646392822","0.6443502306938171","0.5469613075256348","0.3203883469104767"
"amber-sweep-45","finished","-","","","2025-06-04T12:46:17.000Z","4475","","16","0.24378075665136023","20","32","5","0.0004034220788472515","","","","","","","","","","","","","","","","","","","","","","","","0.0563323680021495","","0.1898130055206614","0.01250635200802728","0.609666645526886","0.6382298469543457","19","0.0004034220764879138","0.6519442796707153","0.5559380650520325","0.2613268494606018","0.5845539569854736","0.6532310843467712","0.6515145897865295","0.4880000054836273","0.1974110007286072"
"zesty-sweep-44","finished","-","","","2025-06-04T11:32:10.000Z","4441","","32","0.2305947341563665","20","32","5","0.0007117135740298236","","","","","","","","","","","","","","","","","","","","","","","","0.0005809264276001924","","0.028346106608598844","0.10515641995042516","0.6639999747276306","0.7133597135543823","19","0.0007117135683074594","0.6034834384918213","0.6128712892532349","0.5008090734481812","0.6644474267959595","0.7122230529785156","0.6124976277351379","0.641791045665741","0.4174757301807403"
"breezy-sweep-43","finished","-","","","2025-06-04T10:17:50.000Z","4454","","8","0.35419251351716824","20","32","5","0.00046703414068298833","","","","","","","","","","","","","","","","","","","","","","","","0.005329372934594257","","0.1197142374954298","0.09226588119130295","0.6050000190734863","0.6236261129379272","19","0.00046703414409421384","0.6528122425079346","0.541329026222229","0.27022653818130493","0.6484687328338623","0.6796519160270691","0.6361387372016907","0.5896414518356323","0.4789643883705139"
